num,playerid,name,pos,ht,wt,from,Seasons,class,season4,htft,htin
53,103,John Crowder ,G ,6-2 ,0 ,"High Point, N.C. ",1945 ,,1945 ,6,2 
43,158,Ted Green ,C/F ,6-3 ,0 ,"Harrisburg, Pa. ",1945 ,,1945 ,6,3 
0,467,Hofmeister ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
0,469,Bob Lapp ,F ,6-2 ,190 ,"Irvington, N.J. (Irvington) ",1945 ,So.,1945 ,6,2 
49,462,John Lentz ,G ,6-2 ,0 ,"Ellerbe, N.C. ",1945 ,,1945 ,6,2 
56,228,Cliff Lewis ,G ,5-10 ,0 ,"Cleveland, Ohio ",1945 ,,1945 ,5,10 
0,485,Megroz ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
0,460,Negroz ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
61,459,Warren Nordin ,F/C ,6-1 ,0 ,"La Grange, Ill. ",1945 ,,1945 ,6,1 
0,461,Pruitt ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
51,316,Bill Sapp ,F ,6-1 ,0 ,"Augusta, Kan. ",1945 ,,1945 ,6,1 
0,463,Scott ,,0-0 ,0 ,,1945 ,,1945 ,0,0 
59,335,John Steele ,G ,6-0 ,0 ,"Broadway, Ohio ",1945 ,,1945 ,6,0 
48,358,Dick Van Schoik ,G ,6-0 ,0 ,"Colombus, Ohio ",1945 ,,1945 ,6,0 
60,464,Ted Villanueva ,F ,6-2 ,0 ,"Orange, N.J. ",1945 ,,1945 ,6,2 
44,13,Doug Ausbon ,F/G ,6-1 ,170 ,"Durham, N.C. ",1943-46 ,Sr.,1946 ,6,1 
64,43,Joe Brand ,F ,6-1 ,0 ,"Louisville, Ky. ",1945-46 ,,1946 ,6,1 
50,47,George Brunner ,C/F ,6-2 ,0 ,"West New York, N.J. ",1945-46 ,,1946 ,6,2 
0,95,Tom Cordell ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,449,Jim Corrington ,C ,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,447,Hackett ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,446,Kaufman ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,444,Major ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,473,Neighborgall ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,292,Warren Pope ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,308,Jack Robinson ,G ,0-0 ,0 ,,1946 ,,1946 ,0,0 
66,309,Bob Roellke ,G ,6-1 ,0 ,"Maplewood, N.J. ",1945-46 ,,1946 ,6,1 
0,372,Dick Whiting ,G ,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,445,Whitten ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,448,Williams ,,0-0 ,0 ,,1946 ,,1946 ,0,0 
0,474,Gibson ,,0-0 ,0 ,,1947 ,,1947 ,0,0 
41,156,Irving Gray ,G/F ,5-11 ,140 ,"Freeport, N.Y. ",1946-47 ,Jr.,1947 ,5,11 
55,214,Ed Koffenberger ,C ,6-2 ,0 ,"Wilmington, Del. ",1945-47 ,,1947 ,6,2 
49,236,Garland Loftis ,G ,5-11 ,165 ,"Durham, N.C. ",1942-47 ,Sr.,1947 ,5,11 
40,312,Sammy Rothbaum ,G ,5-11 ,170 ,"Palmyra, N.Y. ",1941-47 ,Sr.,1947 ,5,11 
62,322,John Seward ,F ,6-1 ,185 ,"Newport News, Va. ",1942-47 ,Sr.,1947 ,6,1 
0,238,Pat Lyons ,,0-0 ,0 ,,1948 ,,1948 ,0,0 
0,479,Walt Poplin ,F ,6-2 ,180 ,"Albemarle, N.C. ",1948 ,So.,1948 ,6,2 
0,334,Bill Stark ,,0-0 ,0 ,,1942-48 ,,1948 ,0,0 
15,481,Bill Armour ,F ,6-3 ,190 ,"Miami, Fla. ",1948-49 ,Jr.,1949 ,6,3 
26,490,Ray Campbell ,G ,6-2 ,185 ,"Malverne, N.Y. ",1949 ,So.,1949 ,6,2 
59,89,Ben Collins ,C ,6-6 ,190 ,"Hazard, Ky. ",1947-49 ,Sr.,1949 ,6,6 
25,489,Benner Crigler ,G ,6-2 ,180 ,"Charlotte, N.C. ",1949 ,So.,1949 ,6,2 
5,122,Bob Duff ,F ,5-11 ,165 ,"Englewood, N.J. ",1948-49 ,Jr.,1949 ,5,11 
6,451,Don Farinella ,G ,6-0 ,165 ,"Passaic, N.J. ",1949 ,So.,1949 ,6,0 
8,150,George Godfrey ,G ,6-0 ,160 ,"Jacksonville, Fla. ",1948-49 ,Jr.,1949 ,6,0 
16,155,Dick Gordon ,G ,6-0 ,180 ,"Jacksonville, Fla. ",1946-49 ,Sr.,1949 ,6,0 
21,180,Harold Hibbitts ,C ,6-2 ,190 ,"Pikeville, Ky. ",1949 ,So.,1949 ,6,2 
24,488,Hal Lynch ,C ,6-3 ,175 ,"Jacksonville, Fla. ",1949 ,So.,1949 ,6,3 
0,288,Ernest Pergerm ,,0-0 ,0 ,,1949 ,,1949 ,0,0 
18,317,Carl Sapp ,G/F ,6-4 ,180 ,"Raleigh, N.C. ",1947-49 ,Sr.,1949 ,6,4 
0,487,Buck Simmons ,,6-2 ,200 ,"Pilot Mountain, N.C. ",1949 ,So.,1949 ,6,2 
0,450,Tom Wallingford ,C ,6-4 ,185 ,"Maysville, Ky. ",1947-49 ,Sr.,1949 ,6,4 
5,11,Larry Ashley ,,5-9 ,150 ,"Greenville, S.C. ",1950 ,So.,1950 ,5,9 
20,78,Buck Cheek ,F ,6-0 ,170 ,"Durham, N.C. ",1946-50 ,Sr.,1950 ,6,0 
